amount_bin,total_transactions,fraud_transactions,fraud_rate_percent,amount_order
0-100,14105,18,0.12761432116270827,0
"1,000,001+",130626,2706,2.0715630885122414,1
"1,001-5,000",559855,104,0.018576238490323388,2
"10,001-50,000",1519856,760,0.05000473729090125,3
"100,001-500,000",2497038,2642,0.10580535818838159,4
101-500,56987,34,0.05966273009633777,5
"5,001-10,000",583590,116,0.019876968419609658,6
"50,001-100,000",719351,669,0.09300049628067522,7
"500,001-1,000,000",209658,1158,0.5523280771542226,8
"501-1,000",71554,6,0.00838527545629874,9
