step,total_transactions,fraud_transactions,fraud_rate_percent
1,2708,16,0.5908419497784343
2,1014,8,0.7889546351084813
3,552,4,0.7246376811594203
4,565,10,1.7699115044247788
5,665,6,0.9022556390977444
6,1660,22,1.3253012048192772
7,6837,12,0.17551557700745943
8,21097,12,0.05688012513627529
9,37628,19,0.05049431274582757
10,35991,11,0.030563196354644218
11,37241,7,0.01879648774200478
12,36153,14,0.038724310568970764
13,37515,14,0.037318405970944955
14,41485,12,0.02892611787393034
15,44609,20,0.0448340021071981
16,42471,10,0.023545478090932638
17,43361,7,0.01614353912502018
18,49579,16,0.03227172794933339
19,51352,11,0.021420782053279328
20,40625,4,0.009846153846153846
21,19152,5,0.026106934001670842
22,12635,23,0.1820340324495449
23,6144,2,0.03255208333333333
24,3216,6,0.18656716417910446
25,1598,18,1.1264080100125156
26,440,12,2.727272727272727
27,41,8,19.51219512195122
28,4,4,100.0
29,4,4,100.0
30,8,8,100.0
31,12,12,100.0
32,12,12,100.0
33,23616,12,0.05081300813008131
34,30904,22,0.07118819570282164
35,29157,15,0.0514456219775697
36,39774,19,0.04776989993463066
37,34000,13,0.03823529411764706
38,31453,16,0.05086955139414365
39,23391,12,0.05130178273695011
40,34270,14,0.04085205719288007
41,36348,12,0.033014196104324864
42,41304,14,0.033895022273871776
43,45060,13,0.028850421660008875
44,38523,8,0.020766814630220908
45,18500,16,0.08648648648648649
46,12445,14,0.1124949779027722
47,8681,21,0.24190761433014626
48,5693,10,0.17565431231336728
49,764,4,0.5235602094240838
50,6,6,100.0
51,14,14,100.0
52,8,8,100.0
53,10,10,100.0
54,4,4,100.0
55,12,12,100.0
56,18,18,100.0
57,6,6,100.0
58,20,20,100.0
59,20,20,100.0
60,12,12,100.0
61,14,14,100.0
62,8,8,100.0
63,8,8,100.0
64,18,18,100.0
65,20,20,100.0
66,24,24,100.0
67,6,6,100.0
68,18,18,100.0
69,20,20,100.0
70,6,6,100.0
71,20,20,100.0
72,14,14,100.0
73,8,8,100.0
74,22,22,100.0
