transaction_type,fraud_status,step,amount_bin,transaction_count
CASH_IN,Legitimate,1,"1,000,001+",1
CASH_IN,Legitimate,1,"1,001-5,000",6
CASH_IN,Legitimate,1,"10,001-50,000",90
CASH_IN,Legitimate,1,"100,001-500,000",289
CASH_IN,Legitimate,1,101-500,2
CASH_IN,Legitimate,1,"5,001-10,000",13
CASH_IN,Legitimate,1,"50,001-100,000",109
CASH_IN,Legitimate,1,"500,001-1,000,000",14
CASH_IN,Legitimate,1,"501-1,000",3
CASH_OUT,Fraud,1,"1,000,001+",1
CASH_OUT,Fraud,1,"1,001-5,000",1
CASH_OUT,Fraud,1,"10,001-50,000",3
CASH_OUT,Fraud,1,"100,001-500,000",3
CASH_OUT,Fraud,1,101-500,1
CASH_OUT,Legitimate,1,"1,001-5,000",4
CASH_OUT,Legitimate,1,"10,001-50,000",59
CASH_OUT,Legitimate,1,"100,001-500,000",218
CASH_OUT,Legitimate,1,"5,001-10,000",10
CASH_OUT,Legitimate,1,"50,001-100,000",72
CASH_OUT,Legitimate,1,"500,001-1,000,000",15
CASH_OUT,Legitimate,1,"501-1,000",1
DEBIT,Legitimate,1,"1,001-5,000",74
DEBIT,Legitimate,1,"10,001-50,000",6
DEBIT,Legitimate,1,101-500,7
DEBIT,Legitimate,1,"5,001-10,000",50
DEBIT,Legitimate,1,"501-1,000",11
PAYMENT,Legitimate,1,0-100,15
PAYMENT,Legitimate,1,"1,001-5,000",574
PAYMENT,Legitimate,1,"10,001-50,000",219
PAYMENT,Legitimate,1,101-500,49
PAYMENT,Legitimate,1,"5,001-10,000",436
PAYMENT,Legitimate,1,"50,001-100,000",1
PAYMENT,Legitimate,1,"501-1,000",75
TRANSFER,Fraud,1,"1,000,001+",1
TRANSFER,Fraud,1,"1,001-5,000",1
TRANSFER,Fraud,1,"10,001-50,000",3
TRANSFER,Fraud,1,"100,001-500,000",1
TRANSFER,Fraud,1,101-500,1
TRANSFER,Legitimate,1,"1,000,001+",31
TRANSFER,Legitimate,1,"1,001-5,000",4
TRANSFER,Legitimate,1,"10,001-50,000",34
TRANSFER,Legitimate,1,"100,001-500,000",127
TRANSFER,Legitimate,1,"5,001-10,000",3
TRANSFER,Legitimate,1,"50,001-100,000",29
TRANSFER,Legitimate,1,"500,001-1,000,000",41
CASH_IN,Legitimate,2,"10,001-50,000",31
CASH_IN,Legitimate,2,"100,001-500,000",123
CASH_IN,Legitimate,2,"5,001-10,000",3
CASH_IN,Legitimate,2,"50,001-100,000",42
CASH_IN,Legitimate,2,"500,001-1,000,000",4
CASH_OUT,Fraud,2,"1,000,001+",1
CASH_OUT,Fraud,2,"10,001-50,000",2
CASH_OUT,Fraud,2,"500,001-1,000,000",1
CASH_OUT,Legitimate,2,"10,001-50,000",18
CASH_OUT,Legitimate,2,"100,001-500,000",52
CASH_OUT,Legitimate,2,"5,001-10,000",3
CASH_OUT,Legitimate,2,"50,001-100,000",26
CASH_OUT,Legitimate,2,"500,001-1,000,000",1
DEBIT,Legitimate,2,"1,001-5,000",44
DEBIT,Legitimate,2,101-500,4
DEBIT,Legitimate,2,"5,001-10,000",16
DEBIT,Legitimate,2,"501-1,000",7
PAYMENT,Legitimate,2,0-100,5
PAYMENT,Legitimate,2,"1,001-5,000",198
PAYMENT,Legitimate,2,"10,001-50,000",137
PAYMENT,Legitimate,2,101-500,28
PAYMENT,Legitimate,2,"5,001-10,000",157
PAYMENT,Legitimate,2,"501-1,000",30
TRANSFER,Fraud,2,"1,000,001+",1
TRANSFER,Fraud,2,"10,001-50,000",2
TRANSFER,Fraud,2,"500,001-1,000,000",1
TRANSFER,Legitimate,2,"1,000,001+",7
TRANSFER,Legitimate,2,"10,001-50,000",5
TRANSFER,Legitimate,2,"100,001-500,000",44
TRANSFER,Legitimate,2,"5,001-10,000",1
TRANSFER,Legitimate,2,"50,001-100,000",8
TRANSFER,Legitimate,2,"500,001-1,000,000",12
CASH_IN,Legitimate,3,"1,001-5,000",3
CASH_IN,Legitimate,3,"10,001-50,000",21
CASH_IN,Legitimate,3,"100,001-500,000",77
