,correlation_with_isFraud
origin_balance_change,0.3624717812723948
amount,0.07668842884028577
destination_balance_error,0.0551195887139749
is_transfer,0.05386895568779242
destination_balance_error_abs,0.0538403715969039
isFlaggedFraud,0.04410919651380965
log_amount,0.040639861093334104
step,0.03157756863269019
origin_zero_balance_after,0.029983749835341765
destination_balance_change,0.027027922979190964
origin_zero_balance_before,-0.024874333199641073
destination_zero_balance_before,0.016470946528664845
origin_balance_error_abs,-0.011283456798877711
origin_balance_error,0.011283456786102855
is_cash_out,0.011255675685707501
oldbalanceOrg,0.0101544218503341
destination_zero_balance_after,0.008481925289880269
newbalanceOrig,-0.00814816126757076
oldbalanceDest,-0.0058852782280514205
amount_to_origin_balance,-0.00085459997078419
newbalanceDest,0.0005353470683180126
amount_to_destination_balance,0.00022530702517084973
